act,actor
adapt,adaptor
animate,animator
assess,assessor
constrict,constrictor
declare,declarator
delegate,delegator
describe,descriptor
detect,detector
elect,elector
elevate,elevator
enact,enactor
escalate,escalator
evaporate,evaporator
fabricate,fabricator
facilitate,facilitator
fascinate,fascinator
generate,generator
incinerate,incinerator
indicate,indicator
inhibit,inhibitor
innovate,innovator
intercept,interceptor
manipulate,manipulator
oppress,oppressor
procrastinate,procrastinator
protect,protector
purvey,purveyor
quest,questor
sculpt,sculptor
select,selector
solicit,solicitor
stress,stressor
vend,vendor
ventilate,ventilator
