umpire,
unastound,true,un,astound
unbalance,false,un,balance
unbox,true,un,box
unburden,false,un,burden
uncare,true,un,care
uncensor,false,un,censor
unchange,true,un,change
unclench,false,un,clench
unclothe,true,un,clothe
uncoil,true,un,coil
uncouple,false,un,couple
uncover,false,un,cover
underachieve,false,under,achieve
undercoat,false,under,coat
undercook,true,under,cook
underdevelop,false,under,develop
underestimate,false,under,estimate
underfund,true,under,fund
underinvest,true,under,invest
underline,true,under,line
undermine,true,under,mine
undernote,true,under,note
undernourish,false,under,nourish
underperform,true,under,perform
underpin,true,under,pin
underplay,true,under,play
underprotect,true,under,protect
underrate,true,under,rate
underregulate,false,under,regulate
underreport,true,under,report
underrepresent,true,under,represent
underresource,true,under,resource
underscore,true,under,score
underserve,true,under,serve
understaff,true,under,staff
understate,true,under,state
undervalue,true,under,value
underwhelm,true,under,whelm
undress,true,un,dress
undulate,
unearth,true,un,earth
unedify,false,un,edify
unerr,true,un,err
unfold,true,un,fold
unfollow,false,un,follow
unfulfil,true,un,fulfil
unfurl,true,un,furl
unhinder,false,un,hinder
unhinge,true,un,hinge
unhood,true,un,hood
unhouse,true,un,house
unify,
uninspire,true,un,inspire
uninvolve,true,un,involve
unionise,
unite,
unlearn,true,un,learn
unleash,true,un,leash
unload,true,un,load
unlock,true,un,lock
unlove,true,un,love
unmask,true,un,mask
unmatch,true,un,match
unnerve,true,un,nerve
unpack,true,un,pack
unpick,true,un,pick
unpin,true,un,pin
unplug,true,un,plug
unquestion,false,un,question
unravel,false,un,ravel
unredact,true,un,redact
unreward,true,un,reward
unsatisfy,false,un,satisfy
unscramble,false,un,scramble
unscrew,true,un,screw
unseat,true,un,seat
unsettle,false,un,settle
unshackle,false,un,shackle
unsubscribe,true,un,subscribe
unsurprise,true,un,surprise
unsuspect,true,un,suspect
unswerve,true,un,swerve
untangle,false,un,tangle
untap,true,un,tap
unthreaten,false,un,threaten
untouch,true,un,touch
unveil,true,un,veil
unwaver,true,un,waver
unwrap,true,un,wrap
unyield,true,un,yield
up,
upbraid,true,up,braid
upcycle,false,up,cycle
update,true,up,date
upend,true,up,end
upgrade,true,up,grade
uplift,true,up,lift
upload,true,up,load
uprate,true,up,rate
uproot,true,up,root
upsize,true,up,size
upskill,true,up,skill
upskirt,true,up,skirt
upsurge,true,up,surge
urbanise,
urge,
urinate,
use,
usher,false,usher
usurp,true,usurp
utilise,
utter,false,utter
